pattern,row,xPosition,yPosition,zPosition,zRotation,label,target,xPosScreen,yPosScreen, projmatrix,cameraPos
1,1,-971.457,375.842,102.000,whale,1,0.3393,0.0531,[0 0 0 1] [1 0 0 0] [0 1.77778 0 0] [112.5 -211.964 10 544] ,-544.000 ,-112.500 ,119.230
2,2,-2128.323,393.660,102.000,shark,0,0.4096,0.5082,[0 0 0 1] [1 0 0 0] [0 1.77778 0 0] [112.5 -211.964 10 544] ,-544.000 ,-112.500 ,119.230
3,3,-1948.158,-525.852,102.000,boat1,0,0.641,0.509,[0 0 0 1] [1 0 0 0] [0 1.77778 0 0] [112.5 -211.962 10 544] ,-544.000 ,-112.500 ,119.229
4,4,-3413.681,-1222.844,102.000,buoy2,0,0.6826,0.5051,[0 0 0 1] [1 0 0 0] [0 1.77778 0 0] [112.5 -211.933 10 544] ,-544.000 ,-112.500 ,119.212
5,5,-2932.051,298.182,102.000,orca,0,0.4513,0.5059,[0 0 0 1] [1 0 0 0] [0 1.77778 0 0] [112.5 -211.86 10 544] ,-544.000 ,-112.500 ,119.171
6,6,-2087.838,529.731,102.000,wubby,0,0.3747,0.5084,[0 0 0 1] [1 0 0 0] [0 1.77778 0 0] [112.5 -211.891 10 544] ,-544.000 ,-112.500 ,119.188
7,7,-3146.620,-709.232,102.000,whale,1,0.6161,0.5055,[0 0 0 1] [1 0 0 0] [0 1.77778 0 0] [112.5 -211.906 10 544] ,-544.000 ,-112.500 ,119.197
8,8,-1186.246,418.746,102.000,buoy2,0,0.3236,0.515,[0 0 0 1] [1 0 0 0] [0 1.77778 0 0] [112.5 -211.92 10 544] ,-544.000 ,-112.500 ,119.205
9,9,-1840.113,129.783,102.000,buoy2,0,0.468,0.5095,[0 0 0 1] [1 0 0 0] [0 1.77778 0 0] [112.5 -211.885 10 544] ,-544.000 ,-112.500 ,119.185
10,10, -3231.853,611.233,102.000,buoy2,0,0.4072,0.5054,[0 0 0 1] [1 0 0 0] [0 1.77778 0 0] [112.5 -211.919 10 544] ,-544.000 ,-112.500 ,119.205
