pattern,row,xPosition,yPosition,zPosition,zRotation,label,target
1,1,381.457,-475.8418,100,176.6611,whale,1
2,2,1538.3227,-493.6602,100,55.0736,shark,0
3,3,1358.1578,425.8515,100,152.6751,boat1,0
4,4,2823.6813,1122.8438,100,224.309,buoy2,0
5,5,2342.0507,-398.1819,100,342.6763,orca,0
6,6,1497.8378,-629.7306,100,34.3747,wubby,0
7,7,2556.6197,609.2321,100,39.4032,whale,1
8,8,596.2457,-518.7463,100,258.9165,buoy2,0
9,9,1250.1127,-229.783,100,299.3937,buoy2,0
10,10,2641.8526,-711.2332,100,295.9677,buoy2,0
11,11,2616.309,-577.5831,100,306.1066,boat1,0
12,12,2088.1567,1.5043,100,192.4779,buoy2,0
13,13,1841.4938,967.9872,100,181.6141,shark,0
14,14,1129.1156,1061.1707,100,204.1761,dolphin,0
15,15,2664.3108,-381.2779,100,177.7066,buoy1,0
16,16,563.1648,229.9949,100,352.3483,boat1,0
17,17,2132.2161,-481.601,100,243.0993,shark,0
18,18,1914.3765,-84.9851,100,242.2467,dolphin,0
19,19,2397.8636,385.6932,100,330.8422,orca,0
20,20,1271.551,-329.9467,100,332.4334,boat2,0
21,21,2182.0395,-38.6178,100,210.8264,orca,0
22,22,2403.2211,822.2868,100,198.1698,boat1,0
23,23,1075.1724,-668.0969,100,49.6098,dolphin,0
24,24,1670.3576,1141.2773,100,215.8372,dolphin,0
25,25,2775.9445,849.2689,100,275.8837,orca,0
26,26,1662.7091,-158.1348,100,196.9953,whale,1
27,27,1095.7971,370.2447,100,94.9583,buoy2,0
28,28,1844.4313,207.3274,100,81.0064,boat2,0
29,29,1174.0487,37.5154,100,224.0078,wubby,0
30,30,2199.3597,-735.5398,100,141.4077,buoy2,0
31,31,1312.0029,-113.2524,100,317.0467,shark,0
32,32,1515.1738,-43.3272,100,3.0781,wubby,0
33,33,2039.385,626.8595,100,166.4568,boat1,0
34,34,2759.3808,1077.0466,100,44.5626,shark,0
35,35,1088.8853,-257.7034,100,11.3657,buoy2,0
36,36,2409.9102,384.7405,100,298.1121,dolphin,0
37,37,2154.1971,730.3806,100,99.8334,boat2,0
38,38,2711.3118,1123.6128,100,96.3941,orca,0
39,39,322.6796,690.6143,100,15.5795,dolphin,0
40,40,1164.2907,-730.6191,100,74.5098,dolphin,0
41,41,1956.2734,-206.8328,100,174.8417,orca,0
42,42,969.089,-511.5831,100,274.3139,dolphin,0
43,43,836.6921,-484.1482,100,115.6442,shark,0
44,44,2081.8229,-4.3588,100,105.7807,buoy1,0
45,45,1857.6439,651.5205,100,340.6982,boat1,0
46,46,1769.6764,368.8219,100,13.2695,shark,0
47,47,1950.5343,1024.7212,100,342.1116,boat1,0
48,48,363.1666,549.6901,100,113.7374,dolphin,0
49,49,1143.3527,101.3689,100,356.9131,shark,0
50,50,1408.9721,1167.2834,100,230.8089,buoy1,0
51,51,863.9439,-289.7714,100,65.3581,buoy1,0
52,52,2091.9666,-302.5012,100,121.0494,boat1,0
53,53,2457.5121,68.204,100,4.8935,wubby,0
54,54,969.1049,-361.5673,100,145.7522,buoy2,0
55,55,2133.4216,-473.3815,100,202.9314,buoy1,0
56,56,596.8059,-243.3505,100,164.241,buoy1,0
57,57,2407.112,-186.556,100,265.4312,buoy1,0
58,58,598.9784,55.1895,100,332.367,dolphin,0
59,59,1763.4623,-344.356,100,171.0411,boat1,0
60,60,1188.3461,-84.7164,100,278.5451,buoy1,0
61,61,2329.5072,231.61,100,35.1099,orca,0
62,62,1544.7922,1037.0587,100,319.1892,boat1,0
63,63,1508.0493,1044.5687,100,184.1441,boat2,0
64,64,2511.5562,88.1934,100,167.7992,wubby,0
65,65,1154.6373,50.6557,100,240.444,boat1,0
66,66,1404.0588,1182.1589,100,243.0349,buoy2,0
67,67,2735.5434,1118.0505,100,251.3434,shark,0
68,68,349.5513,842.0952,100,45.9148,boat1,0
69,69,2759.9621,531.1723,100,181.5529,boat2,0
70,70,730.0457,-711.2309,100,49.0868,shark,0
71,71,1967.8416,3.4641,100,265.9251,dolphin,0
72,72,1758.8786,23.2074,100,113.8138,orca,0
73,73,1988.5412,-574.501,100,59.6274,buoy2,0
74,74,1175.0471,1183.5049,100,277.9253,wubby,0
75,75,1846.5211,35.872,100,285.8185,boat1,0
76,76,2340.8808,86.7906,100,346.829,boat1,0
77,77,289.8769,1008.6631,100,230.5752,boat1,0
78,78,457.2324,1129.4401,100,79.5716,buoy2,0
79,79,2764.7363,666.2407,100,197.4192,dolphin,0
80,80,1926.9953,252.9482,100,136.749,buoy1,0
81,81,838.9059,236.1481,100,14.9033,boat2,0
82,82,1285.0421,907.0098,100,197.608,boat2,0
83,83,556.0331,53.9354,100,266.2374,boat1,0
84,84,935.2565,362.9277,100,334.4703,buoy2,0
85,85,907.8216,-252.2212,100,17.4425,buoy1,0
86,86,1099.013,-645.2884,100,308.701,wubby,0
87,87,634.2861,10.5248,100,351.901,orca,0
88,88,1141.3398,444.8717,100,31.891,wubby,0
89,89,555.0954,929.4422,100,60.4897,whale,1
90,90,2529.9564,332.1423,100,271.9198,orca,0
91,91,484.181,-264.5155,100,253.2913,shark,0
92,92,2648.8052,477.7809,100,131.4479,wubby,0
93,93,1273.4617,229.3621,100,332.2935,wubby,0
94,94,362.7698,-480.4873,100,78.612,boat2,0
95,95,1126.7474,-324.5491,100,336.4737,shark,0
96,96,2146.1524,-371.9124,100,292.7528,buoy1,0
97,97,2298.2268,339.7303,100,82.6632,orca,0
98,98,1651.3063,722.8551,100,59.7172,buoy2,0
99,99,2017.3188,538.2419,100,281.5284,dolphin,0
100,100,2554.5087,631.8039,100,343.2371,boat2,0
101,101,381.9107,312.1726,100,171.2353,whale,1
102,102,1026.483,341.2287,100,323.2432,wubby,0
103,103,359.6361,-111.69,100,241.7981,shark,0
104,104,746.2848,1125.0531,100,49.1508,orca,0
105,105,2105.2294,-521.0964,100,120.2634,buoy1,0
106,106,2109.341,552.7729,100,332.5077,boat2,0
107,107,2513.4996,961.9529,100,335.299,wubby,0
108,108,1748.5014,683.8133,100,79.4892,boat2,0
109,109,423.0724,1070.5097,100,190.97,shark,0
110,110,2629.9084,159.6572,100,27.6159,dolphin,0
111,111,2312.9637,-202.2627,100,8.4413,boat2,0
112,112,980.6024,183.4476,100,26.8854,dolphin,0
113,113,1648.0878,969.1995,100,69.558,shark,0
114,114,2790.5705,697.7566,100,139.5839,wubby,0
115,115,2093.6062,-84.3411,100,224.8042,shark,0
116,116,2412.9313,-617.9442,100,347.0096,whale,1
117,117,1362.1449,490.5417,100,140.1908,buoy2,0
118,118,1458.918,1068.4687,100,271.9617,boat1,0
119,119,1692.2477,747.6545,100,40.5553,shark,0
120,120,936.9471,992.7372,100,18.2418,boat2,0
121,121,2179.9578,624.0131,100,52.7964,buoy2,0
122,122,1545.0693,-539.2259,100,216.8433,wubby,0
123,123,1915.237,-106.8088,100,229.4103,wubby,0
124,124,1037.0611,350.4667,100,146.1805,orca,0
125,125,599.2968,-304.9877,100,253.9732,whale,1
126,126,1471.7339,318.2532,100,291.1419,whale,1
127,127,1178.7695,-404.98,100,142.253,boat1,0
128,128,2281.2138,607.3376,100,252.8009,buoy1,0
129,129,2260.9662,816.7294,100,204.8937,buoy1,0
130,130,1971.4466,-449.5145,100,22.2587,buoy2,0
131,131,585.775,591.3726,100,6.0525,buoy2,0
132,132,295.8297,599.7446,100,228.1369,buoy2,0
133,133,1689.9874,74.5485,100,324.9315,buoy1,0
134,134,1019.1213,-162.5966,100,322.5206,dolphin,0
135,135,2673.0712,-458.7774,100,141.0406,buoy1,0
136,136,2780.5404,170.604,100,82.7528,wubby,0
137,137,982.3468,-157.5096,100,126.1535,buoy2,0
138,138,2314.1245,477.038,100,80.5445,boat2,0
139,139,2560.9284,-634.6518,100,58.563,shark,0
140,140,1787.5938,-711.8093,100,9.3933,buoy1,0
141,141,2529.6033,1019.3469,100,53.6798,boat2,0
142,142,2684.2647,-144.7697,100,205.5195,wubby,0
143,143,1662.3194,121.665,100,231.2269,orca,0
144,144,2126.5219,16.0596,100,267.1356,buoy1,0
145,145,1733.804,-279.1931,100,113.7179,boat2,0
146,146,306.9709,1019.722,100,343.5711,shark,0
147,147,1396.5152,628.7271,100,89.956,buoy2,0
148,148,1913.9221,-487.6197,100,287.002,whale,1
149,149,1589.9156,688.2973,100,309.6305,buoy2,0
150,150,1204.2898,886.3461,100,269.7394,buoy2,0
151,151,2667.1788,-721.7744,100,78.6049,shark,0
152,152,2388.49,981.247,100,151.2685,buoy1,0
153,153,2439.1314,560.1513,100,109.1892,wubby,0
154,154,1204.8637,959.33,100,303.4265,orca,0
155,155,1776.348,338.6121,100,348.385,buoy1,0
156,156,2499.9111,712.7343,100,305.7392,whale,1
157,157,2657.7692,-360.2798,100,88.5186,orca,0
158,158,1971.3225,1105.7781,100,111.36,boat2,0
159,159,775.551,-698.5779,100,80.3893,whale,1
160,160,1933.473,-574.0474,100,100.0946,orca,0
161,161,426.6135,346.6085,100,132.8571,orca,0
162,162,1293.4227,-685.7267,100,101.1081,boat2,0
163,163,1967.3527,394.0149,100,191.4302,boat1,0
164,164,2658.3495,943.4907,100,77.8442,whale,1
165,165,2340.3606,996.8381,100,260.4236,whale,1
166,166,1494.98,417.8964,100,153.6678,dolphin,0
167,167,2199.9805,1011.8739,100,288.5701,dolphin,0
168,168,1320.1529,685.817,100,318.7248,boat1,0
169,169,2756.9257,589.2407,100,237.2534,whale,1
170,170,2798.8545,717.6419,100,157.6229,buoy1,0
171,171,2478.1421,783.6721,100,72.9999,dolphin,0
172,172,1247.209,827.7155,100,129.5852,buoy1,0
173,173,1417.7813,524.0382,100,48.9567,orca,0
174,174,878.9198,328.8769,100,237.1976,boat2,0
