pattern,row,xPosition,yPosition,zPosition,zRotation,label,target
1,1,0.30369601180822015,0.8232959500009185,,176.6611,whale,1
2,2,0.4084771539012661,0.6436840216936597,,55.0736,shark,0
3,3,0.6415107358600848,0.6572932066939977,,152.6751,boat1,0
4,4,0.6834116250845945,0.5888434722133594,,224.309,buoy2,0
5,5,0.4505064308121822,0.6036698696942504,,342.6763,orca,0
6,6,0.3733418981664459,0.6465329420387849,,34.3747,wubby,0
7,7,0.616385137461392,0.5964957101962552,,39.4032,whale,1
8,8,0.3218601920621143,0.7623965168208922,,258.9165,buoy2,0
9,9,0.46731448364419914,0.6667657221310568,,299.3937,buoy2,0
10,10,0.4060325013153465,0.5939141063839551,,295.9677,buoy2,0
11,11,0.42641809709113887,0.5946731791100174,,306.1066,boat1,0
12,12,0.5216560624981028,0.6136697142689111,,192.4779,buoy2,0
13,13,0.7264703433729318,0.6254232981028918,,181.6141,shark,0
14,14,0.8507440549834093,0.6788259579911873,,204.1761,dolphin,0
15,15,0.4581122408714268,0.5932567069250273,,177.7066,buoy1,0
16,16,0.6546720506287772,0.7702366440840605,,352.3483,boat1,0
17,17,0.4310405090231689,0.6117983334753871,,243.0993,shark,0
18,18,0.5055961525828123,0.6217049137916832,,242.2467,dolphin,0
19,19,0.5846730623404838,0.6017030497267106,,330.8422,orca,0
20,20,0.44011550763377066,0.6647965273352278,,332.4334,boat2,0
21,21,0.5135511976257131,0.6097550127208355,,210.8264,orca,0
22,22,0.6585878304142163,0.6015181724913682,,198.1698,boat1,0
23,23,0.32843182727175935,0.6847835968547883,,49.6098,dolphin,0
24,24,0.7831018124624496,0.6351166135045215,,215.8372,dolphin,0
25,25,0.644847135245785,0.5901209342505576,,275.8837,orca,0
26,26,0.4896599873540196,0.6355849305193875,,196.9953,whale,1
27,27,0.6471964732709918,0.6824594640397889,,94.9583,buoy2,0
28,28,0.5669534434588929,0.6252690416508945,,81.0064,boat2,0
29,29,0.5436586576387503,0.6741490215032904,,224.0078,wubby,0
30,30,0.3864458423005922,0.6090620745066715,,141.4077,buoy2,0
31,31,0.4997973063511916,0.6612047588934263,,317.0467,shark,0
32,32,0.516796251001251,0.6452992943092031,,3.0781,wubby,0
33,33,0.6430989767301428,0.6158156836863262,,166.4568,boat1,0
34,34,0.6800498749644607,0.5905728155833563,,44.5626,shark,0
35,35,0.45553778333358746,0.6832317922146767,,11.3657,buoy2,0
36,36,0.5841664888797229,0.6012882856086823,,298.1121,dolphin,0
37,37,0.6561932966275889,0.6108875626617493,,99.8334,boat2,0
38,38,0.6898608913591626,0.5919102434365888,,96.3941,orca,0
39,39,0.9633282587936765,0.8452215790010519,,15.5795,dolphin,0
40,40,0.3190825776900852,0.6751437855395455,,74.5098,dolphin,0
41,41,0.4811355030213896,0.6196655133794569,,174.8417,orca,0
42,42,0.36812305819419744,0.6977388640060168,,274.3139,dolphin,0
43,43,0.36541235370290015,0.7167003780205594,,115.6442,shark,0
44,44,0.5205918685529021,0.6139438992629701,,105.7807,buoy1,0
45,45,0.659061986666716,0.6245798763088899,,340.6982,boat1,0
46,46,0.6040166853065536,0.6293164852267153,,13.2695,shark,0
47,47,0.7279425863176144,0.619940824225187,,342.1116,boat1,0
48,48,0.8649771166619229,0.829814281081336,,113.7374,dolphin,0
49,49,0.5633740948172838,0.6773171074429194,,356.9131,shark,0
50,50,0.8276502004304107,0.6532006012784309,,230.8089,buoy1,0
51,51,0.43704600019929774,0.7125059812397355,,65.3581,buoy1,0
